date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:16:29	154068/154068	---M--	200	added ('OK')	text/html	etag:%227383b6a68dcc7641ab69330e54b2103f%22	http://tutorio-bootstrap.frontendmatter.com/index.html	tutorial%20videos/tutorial%20videos/tutorio-bootstrap.frontendmatter.com/index.html	(from )
00:16:30	281/281	---MC-	404	error ('Not%20Found')	application/xml	date:Sun,%2014%20Jul%202019%2021:15:10%20GMT	http://tutorio-bootstrap.frontendmatter.com/robots.txt		(from )
00:16:30	2598/2598	---M--	200	added ('OK')	text/css	etag:%226f36b1309fbbde634a5d54dd1734274a%22	http://tutorio-bootstrap.frontendmatter.com/assets/vendor/perfect-scrollbar.css	tutorial%20videos/tutorial%20videos/tutorio-bootstrap.frontendmatter.com/assets/vendor/perfect-scrollbar.css	(from http://tutorio-bootstrap.frontendmatter.com/index.html)
00:16:31	135/135	---M--	200	added ('OK')	text/css	etag:%2269f6357b0677a451080a656c5800dc5e%22	http://tutorio-bootstrap.frontendmatter.com/assets/vendor/fix-footer.css	tutorial%20videos/tutorial%20videos/tutorio-bootstrap.frontendmatter.com/assets/vendor/fix-footer.css	(from http://tutorio-bootstrap.frontendmatter.com/index.html)
00:16:32	825/825	---M--	200	added ('OK')	text/css	etag:%2237edca0c0e8a4afc2e3987a9ed94620e%22	http://tutorio-bootstrap.frontendmatter.com/assets/css/material-icons.css	tutorial%20videos/tutorial%20videos/tutorio-bootstrap.frontendmatter.com/assets/css/material-icons.css	(from http://tutorio-bootstrap.frontendmatter.com/index.html)
00:16:33	825/825	---M--	200	added ('OK')	text/css	etag:%22bd976bba6a5f69a76c5a8ad2323b0da7%22	http://tutorio-bootstrap.frontendmatter.com/assets/css/material-icons.rtl.css	tutorial%20videos/tutorial%20videos/tutorio-bootstrap.frontendmatter.com/assets/css/material-icons.rtl.css	(from http://tutorio-bootstrap.frontendmatter.com/index.html)
00:16:36	69398/69398	---M--	200	added ('OK')	text/css	etag:%220e27c0a27ee3f1318a22ef0ee62230ff%22	http://tutorio-bootstrap.frontendmatter.com/assets/css/fontawesome.css	tutorial%20videos/tutorial%20videos/tutorio-bootstrap.frontendmatter.com/assets/css/fontawesome.css	(from http://tutorio-bootstrap.frontendmatter.com/index.html)
00:16:38	69412/69412	---M--	200	added ('OK')	text/css	etag:%225a3aab3694f7526d35367efe853e29b0%22	http://tutorio-bootstrap.frontendmatter.com/assets/css/fontawesome.rtl.css	tutorial%20videos/tutorial%20videos/tutorio-bootstrap.frontendmatter.com/assets/css/fontawesome.rtl.css	(from http://tutorio-bootstrap.frontendmatter.com/index.html)
00:16:40	906/906	---M--	200	added ('OK')	text/css	etag:%22ca39c10b48372a4486ba348a0fadad9b%22	http://tutorio-bootstrap.frontendmatter.com/assets/css/preloader.css	tutorial%20videos/tutorial%20videos/tutorio-bootstrap.frontendmatter.com/assets/css/preloader.css	(from http://tutorio-bootstrap.frontendmatter.com/index.html)
00:16:40	907/907	---M--	200	added ('OK')	text/css	etag:%227c076e19966e6dd890fd8b889d09667f%22	http://tutorio-bootstrap.frontendmatter.com/assets/css/preloader.rtl.css	tutorial%20videos/tutorial%20videos/tutorio-bootstrap.frontendmatter.com/assets/css/preloader.rtl.css	(from http://tutorio-bootstrap.frontendmatter.com/index.html)
00:16:43	462373/462373	---M--	200	added ('OK')	text/css	etag:%228171ce9b5dc2a5eaaa94d3123c6801df%22	http://tutorio-bootstrap.frontendmatter.com/assets/css/app.css	tutorial%20videos/tutorial%20videos/tutorio-bootstrap.frontendmatter.com/assets/css/app.css	(from http://tutorio-bootstrap.frontendmatter.com/index.html)
00:16:46	462405/462405	---M--	200	added ('OK')	text/css	etag:%222026ac7b087625ffd2a11d1800654e96%22	http://tutorio-bootstrap.frontendmatter.com/assets/css/app.rtl.css	tutorial%20videos/tutorial%20videos/tutorio-bootstrap.frontendmatter.com/assets/css/app.rtl.css	(from http://tutorio-bootstrap.frontendmatter.com/index.html)
00:16:48	1261/1261	---M--	200	added ('OK')	image/png	etag:%22c38e668ab9c9982f28703cc068e7e1f1%22	http://tutorio-bootstrap.frontendmatter.com/assets/images/logo/white-100@2x.png	tutorial%20videos/tutorial%20videos/tutorio-bootstrap.frontendmatter.com/assets/images/logo/white-100@2x.png	(from http://tutorio-bootstrap.frontendmatter.com/index.html)
00:16:50	77687/77687	---M--	200	added ('OK')	text/html	etag:%222bb4501c08b7558f40c76bd4852f12b0%22	http://tutorio-bootstrap.frontendmatter.com/login.html	tutorial%20videos/tutorial%20videos/tutorio-bootstrap.frontendmatter.com/login.html	(from http://tutorio-bootstrap.frontendmatter.com/index.html)
00:16:50	95626/95626	---M--	200	added ('OK')	text/html	etag:%22432e8b9a455be47716efe612b3d8a4b9%22	http://tutorio-bootstrap.frontendmatter.com/pricing.html	tutorial%20videos/tutorial%20videos/tutorio-bootstrap.frontendmatter.com/pricing.html	(from http://tutorio-bootstrap.frontendmatter.com/index.html)
00:16:54	200041/200041	---M--	200	added ('OK')	text/html	etag:%22b62f68ea4924121967c06012478accf5%22	http://tutorio-bootstrap.frontendmatter.com/library.html	tutorial%20videos/tutorial%20videos/tutorio-bootstrap.frontendmatter.com/library.html	(from http://tutorio-bootstrap.frontendmatter.com/index.html)
00:16:58	158712/158712	---M--	200	added ('OK')	text/html	etag:%226e0b128aaf6940d43c094e9d0575376a%22	http://tutorio-bootstrap.frontendmatter.com/library-development.html	tutorial%20videos/tutorial%20videos/tutorio-bootstrap.frontendmatter.com/library-development.html	(from http://tutorio-bootstrap.frontendmatter.com/index.html)
00:17:00	148684/148684	---M--	200	added ('OK')	text/html	etag:%225b4993f1697edb9061b57e39922b9f0b%22	http://tutorio-bootstrap.frontendmatter.com/course.html	tutorial%20videos/tutorial%20videos/tutorio-bootstrap.frontendmatter.com/course.html	(from http://tutorio-bootstrap.frontendmatter.com/index.html)
00:17:04	113616/113616	---M--	200	added ('OK')	image/jpeg	etag:%2299bf9aa57d86d7db826393652fe76302%22	http://tutorio-bootstrap.frontendmatter.com/assets/images/1280_work-station-straight-on-view.jpg	tutorial%20videos/tutorial%20videos/tutorio-bootstrap.frontendmatter.com/assets/images/1280_work-station-straight-on-view.jpg	(from http://tutorio-bootstrap.frontendmatter.com/index.html)
00:17:06	7121/7121	---M--	200	added ('OK')	image/png	etag:%22ddc4e5fa6648b377ee9f3c841aa82dac%22	http://tutorio-bootstrap.frontendmatter.com/assets/images/paths/angular_40x40@2x.png	tutorial%20videos/tutorial%20videos/tutorio-bootstrap.frontendmatter.com/assets/images/paths/angular_40x40@2x.png	(from http://tutorio-bootstrap.frontendmatter.com/index.html)
00:17:10	11151/11151	---M--	200	added ('OK')	image/png	etag:%22580958e6570df3bde590f7bb2cc44fcf%22	http://tutorio-bootstrap.frontendmatter.com/assets/images/paths/swift_430x168.png	tutorial%20videos/tutorial%20videos/tutorio-bootstrap.frontendmatter.com/assets/images/paths/swift_430x168.png	(from http://tutorio-bootstrap.frontendmatter.com/index.html)
00:17:10	4611/4611	---M--	200	added ('OK')	image/png	etag:%223bdd537bb1b40ea4dc20c5cf12fb7a0e%22	http://tutorio-bootstrap.frontendmatter.com/assets/images/paths/swift_40x40@2x.png	tutorial%20videos/tutorial%20videos/tutorio-bootstrap.frontendmatter.com/assets/images/paths/swift_40x40@2x.png	(from http://tutorio-bootstrap.frontendmatter.com/index.html)
00:17:10	63449/63449	---M--	200	added ('OK')	image/png	etag:%22d9bf43b4da58c67af8b9f8c12b78a5e2%22	http://tutorio-bootstrap.frontendmatter.com/assets/images/macbook.png	tutorial%20videos/tutorial%20videos/tutorio-bootstrap.frontendmatter.com/assets/images/macbook.png	(from http://tutorio-bootstrap.frontendmatter.com/index.html)
00:17:14	15608/15608	---M--	200	added ('OK')	image/png	etag:%225907cf9cd7cb040727bc23838f9134bb%22	http://tutorio-bootstrap.frontendmatter.com/assets/images/paths/wordpress_430x168.png	tutorial%20videos/tutorial%20videos/tutorio-bootstrap.frontendmatter.com/assets/images/paths/wordpress_430x168.png	(from http://tutorio-bootstrap.frontendmatter.com/index.html)
00:17:14	8275/8275	---M--	200	added ('OK')	image/png	etag:%229982e1a632d875584aa13fa1c0860111%22	http://tutorio-bootstrap.frontendmatter.com/assets/images/paths/wordpress_40x40@2x.png	tutorial%20videos/tutorial%20videos/tutorio-bootstrap.frontendmatter.com/assets/images/paths/wordpress_40x40@2x.png	(from http://tutorio-bootstrap.frontendmatter.com/index.html)
00:17:15	75135/75135	---M--	200	added ('OK')	image/png	etag:%224d16e05dc66e64db3bb82fc52a86e01d%22	http://tutorio-bootstrap.frontendmatter.com/assets/images/paths/angular_430x168.png	tutorial%20videos/tutorial%20videos/tutorio-bootstrap.frontendmatter.com/assets/images/paths/angular_430x168.png	(from http://tutorio-bootstrap.frontendmatter.com/index.html)
00:17:16	30896/30896	---M--	200	added ('OK')	image/png	etag:%22259751710b36e86962aaa64a800ada23%22	http://tutorio-bootstrap.frontendmatter.com/assets/images/paths/react_430x168.png	tutorial%20videos/tutorial%20videos/tutorio-bootstrap.frontendmatter.com/assets/images/paths/react_430x168.png	(from http://tutorio-bootstrap.frontendmatter.com/index.html)
00:17:17	7610/7610	---M--	200	added ('OK')	image/png	etag:%22e9b9b4419beeeaa884caf4e3a7d8b559%22	http://tutorio-bootstrap.frontendmatter.com/assets/images/paths/react_40x40@2x.png	tutorial%20videos/tutorial%20videos/tutorio-bootstrap.frontendmatter.com/assets/images/paths/react_40x40@2x.png	(from http://tutorio-bootstrap.frontendmatter.com/index.html)
00:17:18	6263/6263	---M--	200	added ('OK')	image/png	etag:%228967a9e838126695df2989f53bc8f955%22	http://tutorio-bootstrap.frontendmatter.com/assets/images/paths/redis_40x40@2x.png	tutorial%20videos/tutorial%20videos/tutorio-bootstrap.frontendmatter.com/assets/images/paths/redis_40x40@2x.png	(from http://tutorio-bootstrap.frontendmatter.com/index.html)
00:17:18	13069/13069	---M--	200	added ('OK')	image/png	etag:%22702cb44a0ba0b04181c04f98ab2c77d1%22	http://tutorio-bootstrap.frontendmatter.com/assets/images/paths/redis_430x168.png	tutorial%20videos/tutorial%20videos/tutorio-bootstrap.frontendmatter.com/assets/images/paths/redis_430x168.png	(from http://tutorio-bootstrap.frontendmatter.com/index.html)
